date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-08-30,74830,38949,31386,61673,77669,57975,78562,88769,78562,83442,4260,5710,5336,5918,9087,520,1010,5502,1046,957,534,403,832,27,39,4,31
2025-08-31,68239,18983,67237,31087,73261,70455,94092,30009,94092,67551,7167,2434,5316,5517,8228,2028,8308,423,2951,2226,843,745,942,66,54,81,95
2025-09-01,27335,97045,25178,16445,59419,68679,50325,85570,50325,56328,9936,7933,6301,151,4602,8594,4032,2107,3996,4524,846,167,326,29,5,99,2
2025-09-02,35079,61768,29962,33026,39696,16525,23691,42225,23691,99529,671,2459,302,6180,5063,4044,1414,2563,6215,4305,423,682,886,8,57,69,30
2025-09-03,72033,15521,73814,73281,13594,18199,67084,14551,67084,50308,3650,3680,155,6354,251,8088,1579,5449,761,1081,272,145,363,14,90,49,84
2025-09-04,70943,38492,20554,70069,1940,61888,91419,13930,91419,40883,4233,8852,5368,9800,5951,5303,7180,8045,5616,7468,913,668,770,37,45,1,40
2025-09-05,29878,50158,34445,81311,8775,62294,99938,91427,99938,99545,9397,2045,1447,3491,9312,3565,8895,7106,7698,1098,370,237,517,25,18,66,6
2025-09-06,89093,25280,53923,67762,39715,81684,83408,78403,83408,31911,1313,2005,7835,4796,4169,8567,1105,5080,8623,2255,473,753,153,9,64,31,67
2025-09-07,67137,77753,10954,86897,74456,12701,14448,6797,14448,74677,2700,6698,1083,346,8309,3358,1662,4519,9369,9488,55,957,432,36,68,57,40
2025-09-08,4493,66113,57584,90587,36917,29542,20268,75320,20268,30265,8326,6739,9383,8311,4763,7769,3868,3932,137,5071,814,134,74,32,24,12,52
2025-09-09,3460,34769,61343,84925,3559,12690,78281,94549,78281,89184,898,1053,3483,930,4263,1423,6482,6801,8368,7910,388,87,85,82,62,54,51
2025-09-10,29231,148,17333,81917,72154,10924,51440,30216,51440,44802,4318,6995,8617,6139,5034,4481,2682,1878,6262,8625,62,205,325,23,47,31,62
2025-09-11,30217,16202,7858,46709,58929,47096,47092,53732,47092,8468,812,3402,873,526,8460,8586,6036,7353,9301,4589,350,643,296,83,19,56,43
2025-09-12,58686,25026,26420,94274,19938,44338,89465,17028,89465,57303,4346,5321,50,4814,6943,8118,7522,8131,4984,9201,926,348,349,83,5,23,1
2025-09-13,2401,87189,35765,93276,95992,70874,29597,93375,29597,18765,8314,8485,5070,8002,8982,6450,2538,8604,9611,4829,257,334,253,28,93,80,24
2025-09-14,91807,49414,79092,72800,5927,28968,67553,59128,67553,66009,8888,6679,209,369,274,2620,974,2523,9633,8482,825,466,649,60,4,12,89
2025-09-15,95946,89884,97044,42891,170,80907,8686,90019,8686,35432,5860,288,7437,4495,5127,4301,6444,4358,3399,2500,224,616,465,82,33,22,26
2025-09-16,17705,13036,76900,78768,73396,16527,26221,86471,26221,63620,7391,8287,4952,3145,1770,7526,8472,3722,1192,925,479,389,851,12,29,11,33
2025-09-17,58005,6756,68134,97078,29542,36234,80889,67063,80889,95818,9744,4722,5167,4867,2580,3700,5451,4480,2108,4413,634,523,318,41,1,64,30
2025-09-18,44450,80569,92755,4311,59382,41688,10274,21670,10274,402,9009,2018,3546,8513,1771,965,6776,623,7173,9530,475,989,682,69,93,5,59
2025-09-19,29846,87243,71895,33123,37653,81077,50024,19199,50024,96983,8147,4478,5879,438,1742,866,1764,4119,1483,9557,528,353,362,13,56,22,45
2025-09-20,86590,16423,18362,33869,13728,36883,26173,9234,26173,41645,9114,768,6867,3742,1360,766,8274,1839,4492,9692,455,691,286,76,41,37,40
2025-09-21,75471,16413,78324,66488,87743,139,95115,1044,95115,54296,982,8516,1275,4194,6625,2574,5261,6228,6903,8630,697,783,794,93,74,87,88
2025-09-22,47461,29620,85899,15665,26430,2650,46909,20558,46909,4310,9753,4404,670,1801,2565,3034,889,9594,9843,8914,604,201,895,86,69,16,38
2025-09-23,36888,95243,34439,38882,53437,42149,76614,56658,76614,10335,8803,1873,1965,7168,4895,2216,9557,7631,2811,375,509,775,640,12,77,99,75
2025-09-24,77859,41120,98657,17732,55475,9588,76234,64516,76234,83266,9218,4048,506,9457,3509,1492,1834,4444,7671,5533,284,831,408,65,82,57,17
2025-09-25,63263,49075,94334,71143,37289,23531,99079,9780,99079,22285,9402,6194,2057,3975,7820,9749,2423,3409,9020,9063,424,875,42,58,68,97,7
2025-09-26,43223,6370,7755,39198,65462,42631,2891,49996,2891,74067,6277,1038,1364,3271,2987,3034,8336,8235,5526,8921,287,186,349,62,87,95,18
2025-09-27,92519,15736,30092,27079,93336,66831,48268,69292,48268,48471,7020,7912,4723,2659,9304,484,603,6991,515,8169,282,687,31,68,93,30,56
2025-09-28,37606,431,14719,82174,30950,51269,19416,26182,19416,75594,3591,3139,3351,3890,9934,5989,9429,6727,1803,7802,27,288,425,90,56,33,18
2025-09-29,40750,61108,69358,90154,1848,41575,52069,30677,52069,19052,5325,4890,644,8286,1767,2599,3392,331,6704,463,675,677,660,18,39,85,5
2025-09-30,81036,16126,38769,52002,75074,24263,73852,47100,73852,62038,9404,848,1340,2638,9487,8534,2807,4126,128,8262,35,512,987,72,70,60,23
2025-10-01,5683,38747,39877,22237,18199,52453,19239,18143,19239,81544,1501,7869,5195,6511,5556,322,9662,6206,5174,9285,480,907,816,8,56,80,54
2025-10-02,34147,51103,49544,86481,90811,51516,19617,4734,19617,92923,4987,9659,9876,6027,8790,8150,8709,6689,878,2994,967,679,796,72,26,44,42
2025-10-03,2109,75645,5394,1433,10667,10360,95881,96699,95881,32145,2639,7669,5881,3688,1813,3145,1455,7976,5206,9804,904,857,965,68,48,77,56
2025-10-04,40205,8072,44224,44370,9523,85775,52458,56810,52458,73704,2232,5414,7342,2266,3312,839,187,217,877,3745,817,665,154,5,4,68,63
2025-10-05,38445,27255,14580,81191,79686,86946,74048,13452,74048,88599,9486,6361,6087,6117,9765,4424,7068,829,3369,4580,993,271,906,69,25,16,14
2025-10-06,28021,56031,10444,20103,29504,10522,64248,68392,64248,31661,5508,3127,7257,1133,5001,5591,5433,1809,8292,548,626,40,985,10,46,91,25
2025-10-07,42525,6479,87963,56902,79953,16815,17284,91805,17284,91368,7412,1118,761,634,9389,7234,3928,3440,3945,6237,538,998,895,62,41,65,7
2025-10-08,16533,91202,7503,52128,42177,76632,98927,95417,98927,30224,2052,2647,2059,7265,7707,2361,3819,3063,2427,5052,6,820,579,14,64,62,83
2025-10-09,9565,14729,68722,61754,41093,33880,22844,39220,22844,22328,4631,1236,6574,622,6850,3557,740,6760,9439,9164,592,108,449,76,24,77,1
2025-10-10,1640,54778,58480,54921,50749,94670,56818,51058,56818,71888,8299,6500,7568,321,2625,5349,601,2158,8746,990,34,5,95,41,71,90,42
2025-10-11,943,43213,66146,15901,22906,4955,93893,32538,93893,85773,8964,803,4867,2405,9122,6281,8813,6672,8101,7293,803,301,325,84,9,69,79
